	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	mouseid	treatment	day	true_val	residual
D32M3	2.273200277	M3	control	32	-0.338015235	-2.611215485
D32M54	2.94130674	M54	no_zinc	32	8.23130049	5.28999372
D32M37	2.273200277	M37	control	32	-0.272932357	-2.546132604
D32M40	2.273200277	M40	control	32	1.612995481	-0.660204757
D32M8	2.273200277	M8	control	32	5.915489407	3.642289102
D32M19	2.273200277	M19	control	32	-0.263029269	-2.536229476
D32M27	2.273200277	M27	control	32	-0.588474651	-2.861674886
D32M31	2.273200277	M31	control	32	2.303944849	0.0307446
D32M34	2.273200277	M34	control	32	7.944522925	5.671322588
D32M52	2.94130674	M52	no_zinc	32	8.343525487	5.402218648
D32M62	2.94130674	M62	no_zinc	32	-0.423442713	-3.364749402
D32M13	2.273200277	M13	control	32	1.778205112	-0.494995238
D32M38	2.273200277	M38	control	32	-0.568039096	-2.841239303
D32M59	2.94130674	M59	no_zinc	32	5.194423408	2.253116683
D32M70	2.94130674	M70	no_zinc	32	-0.576196445	-3.517503098
D32M15	2.273200277	M15	control	32	2.441886661	0.168686397
D32M2	2.273200277	M2	control	32	7.656592529	5.383392227
D32M32	2.273200277	M32	control	32	2.933124783	0.659924504
D32M4	2.273200277	M4	control	32	-0.31253147	-2.585731689
D32M67	2.94130674	M67	no_zinc	32	-0.58161111	-3.522917799
D32M10	2.273200277	M10	control	32	1.574670271	-0.698530128
D32M53	2.94130674	M53	no_zinc	32	8.358962043	5.417655271
D32M61	2.94130674	M61	no_zinc	32	2.454000071	-0.487306634
D32M69	2.94130674	M69	no_zinc	32	-0.263954945	-3.205261579
D32M7	2.273200277	M7	control	32	-0.600226448	-2.87342674
D32M29	2.273200277	M29	control	32	-1.017700279	-3.290900522
D32M36	2.273200277	M36	control	32	2.550045396	0.276845171
D16M48	1.997859115	M48	no_zinc	16	-0.445931959	-2.443791106
D16M1	1.86151087	M1	control	16	-0.267711421	-2.129222231
D16M28	1.86151087	M28	control	16	-0.211869034	-2.073379842
D16M37	1.86151087	M37	control	16	4.284256106	2.422745266
D16M21	1.86151087	M21	control	16	1.748595516	-0.112915401
D16M27	1.86151087	M27	control	16	2.276211345	0.414700519
D16M30	1.86151087	M30	control	16	-0.335240933	-2.196751771
D16M33	1.86151087	M33	control	16	2.990752716	1.12924181
D16M35	1.86151087	M35	control	16	3.85106438	1.98955342
D16M75	1.997859115	M75	no_zinc	16	-0.249377896	-2.247236957
D16M12	1.86151087	M12	control	16	-0.440341541	-2.301852434
D16M13	1.86151087	M13	control	16	8.815582342	6.9540714
D16M46	1.997859115	M46	no_zinc	16	2.44089677	0.443037643
D16M56	1.997859115	M56	no_zinc	16	-0.421942209	-2.419801284
D16M18	1.86151087	M18	control	16	8.249860268	6.388349269
D16M47	1.997859115	M47	no_zinc	16	8.323866152	6.326006825
D16M70	1.997859115	M70	no_zinc	16	1.621745533	-0.376113494
D16M39	1.86151087	M39	control	16	2.207970851	0.346460006
D16M76	1.997859115	M76	no_zinc	16	2.638997379	0.641138283
D16M10	1.86151087	M10	control	16	8.924045214	7.062534222
D16M66	1.997859115	M66	no_zinc	16	1.816139577	-0.181719554
D16M68	1.997859115	M68	no_zinc	16	-0.45445975	-2.452318803
D16M49	1.997859115	M49	no_zinc	16	-0.269736066	-2.267595122
D16M7	1.86151087	M7	control	16	2.071384655	0.209873771
D16M29	1.86151087	M29	control	16	1.749750736	-0.1117601
D16M25	1.86151087	M25	control	16	8.402605865	6.541094924
D8M3	1.655666166	M3	control	8	-0.253758403	-1.909424541
D8M48	1.526135302	M48	no_zinc	8	7.464218206	5.938082872
D8M54	1.526135302	M54	no_zinc	8	-0.294768487	-1.820903819
D8M71	1.526135302	M71	no_zinc	8	3.18299594	1.656860607
D8M11	1.655666166	M11	control	8	-0.193065094	-1.8487312
D8M75	1.526135302	M75	no_zinc	8	1.767021324	0.240886076
D8M12	1.655666166	M12	control	8	2.401463638	0.745797449
D8M22	1.655666166	M22	control	8	-0.301565792	-1.957231899
D8M56	1.526135302	M56	no_zinc	8	1.122011532	-0.40412373
D8M57	1.526135302	M57	no_zinc	8	4.182657923	2.656522574
D8M65	1.526135302	M65	no_zinc	8	0.882798112	-0.643337158
D8M9	1.655666166	M9	control	8	-0.259443453	-1.915109591
D8M18	1.655666166	M18	control	8	-0.256162483	-1.911828778
D8M38	1.655666166	M38	control	8	-0.268306141	-1.923972236
D8M47	1.526135302	M47	no_zinc	8	1.680526895	0.154391381
D8M55	1.526135302	M55	no_zinc	8	-0.262749998	-1.788885291
D8M59	1.526135302	M59	no_zinc	8	-0.216285716	-1.742421003
D8M70	1.526135302	M70	no_zinc	8	-0.280986583	-1.807121799
D8M15	1.655666166	M15	control	8	2.41375312	0.758086967
D8M2	1.655666166	M2	control	8	-0.401937038	-2.057603228
D8M32	1.655666166	M32	control	8	2.759695558	1.104029391
D8M39	1.655666166	M39	control	8	-0.289547119	-1.945213261
D8M4	1.655666166	M4	control	8	-0.24014142	-1.895807527
D8M67	1.526135302	M67	no_zinc	8	1.406837938	-0.119297313
D8M74	1.526135302	M74	no_zinc	8	2.270841246	0.744705956
D8M76	1.526135302	M76	no_zinc	8	-0.431092579	-1.957227863
D8M79	1.526135302	M79	no_zinc	8	-0.325859891	-1.851995176
D8M10	1.655666166	M10	control	8	1.725201949	0.069535661
D8M53	1.526135302	M53	no_zinc	8	-0.204807752	-1.730943086
D8M58	1.526135302	M58	no_zinc	8	4.817651765	3.291516396
