	true_val	residual	treatment	mouseid	predicted k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudolongum	day
D32M3	-0.338015235	0.232612499	control	M3	-0.572011593	32
D32M54	-1.493917071	-0.912906518	no_zinc	M54	-0.568570773	32
D32M37	-0.272932357	0.295632751	control	M37	-0.572011593	32
D32M40	-0.394762682	0.175974211	control	M40	-0.572011593	32
D32M8	-1.187194178	-0.608944919	control	M8	-0.572011593	32
D32M19	-0.263029269	0.306784319	control	M19	-0.572011593	32
D32M27	-0.588474651	-0.016943	control	M27	-0.572011593	32
D32M31	-0.641696828	-0.068745723	control	M31	-0.572011593	32
D32M34	-1.326948573	-0.747362861	control	M34	-0.572011593	32
D32M52	-1.23786888	-0.660136619	no_zinc	M52	-0.568570773	32
D32M62	-0.423442713	0.145883115	no_zinc	M62	-0.568570773	32
D32M13	-0.295601846	0.277403866	control	M13	-0.572011593	32
D32M38	-0.568039096	0.002742339	control	M38	-0.572011593	32
D32M59	-0.45494813	0.114085581	no_zinc	M59	-0.568570773	32
D32M70	-0.576196445	-0.005370528	no_zinc	M70	-0.568570773	32
D32M15	-0.42528184	0.144473901	control	M15	-0.572011593	32
D32M2	-0.898820939	-0.32392069	control	M2	-0.572011593	32
D32M32	-0.432699628	0.13611057	control	M32	-0.572011593	32
D32M4	-0.31253147	0.25565326	control	M4	-0.572011593	32
D32M67	-0.58161111	-0.010579502	no_zinc	M67	-0.568570773	32
D32M10	-0.399114117	0.173794876	control	M10	-0.572011593	32
D32M53	-1.38365382	-0.803903844	no_zinc	M53	-0.568570773	32
D32M61	-0.304579142	0.263141304	no_zinc	M61	-0.568570773	32
D32M69	-0.263954945	0.272042631	no_zinc	M69	-0.568570773	32
D32M7	-0.600226448	-0.028385556	control	M7	-0.572011593	32
D32M29	-1.017700279	-0.444178633	control	M29	-0.572011593	32
D32M36	-0.386820118	0.181146094	control	M36	-0.572011593	32
D16M48	-0.445931959	-0.146463668	no_zinc	M48	-0.330357429	16
D16M1	-0.267711421	0.174396493	control	M1	-0.445555743	16
D16M28	-0.211869034	0.231037763	control	M28	-0.445555743	16
D16M37	-0.441822615	0.000286643	control	M37	-0.445555743	16
D16M21	-0.326255491	0.11928475	control	M21	-0.445555743	16
D16M27	-0.352145768	0.092930033	control	M27	-0.445555743	16
D16M30	-0.335240933	0.108542204	control	M30	-0.445555743	16
D16M33	-0.467013738	-0.020578891	control	M33	-0.445555743	16
D16M35	-0.360944129	0.085089473	control	M35	-0.445555743	16
D16M75	-0.249377896	0.039429202	no_zinc	M75	-0.330357429	16
D16M12	-0.440341541	0.007069578	control	M12	-0.445555743	16
D16M13	-0.849378181	-0.402828319	control	M13	-0.445555743	16
D16M46	-0.442441282	-0.109722008	no_zinc	M46	-0.330357429	16
D16M56	-0.421942209	-0.086924347	no_zinc	M56	-0.330357429	16
D16M18	-0.67677987	-0.228442493	control	M18	-0.445555743	16
D16M47	-0.79641683	-0.455151329	no_zinc	M47	-0.330357429	16
D16M70	-0.278869712	0.053742862	no_zinc	M70	-0.330357429	16
D16M39	-0.390351308	0.053685967	control	M39	-0.445555743	16
D16M76	-0.399493942	-0.063987944	no_zinc	M76	-0.330357429	16
D16M10	-0.794696163	-0.348243021	control	M10	-0.445555743	16
D16M66	-0.239327047	0.093628489	no_zinc	M66	-0.330357429	16
D16M68	-0.45445975	-0.120062459	no_zinc	M68	-0.330357429	16
D16M49	-0.269736066	0.064296823	no_zinc	M49	-0.330357429	16
D16M7	-0.340803249	0.104581792	control	M7	-0.445555743	16
D16M29	-0.279847393	0.167218403	control	M29	-0.445555743	16
D16M25	-1.080127328	-0.62952996	control	M25	-0.445555743	16
D8M3	-0.253758403	0.127185556	control	M3	-0.382327818	8
D8M48	3.215446082	3.395807702	no_zinc	M48	-0.211250757	8
D8M54	-0.294768487	-0.071077948	no_zinc	M54	-0.211250757	8
D8M71	-0.722324491	-0.503330458	no_zinc	M71	-0.211250757	8
D8M11	-0.193065094	0.188563383	control	M11	-0.382327818	8
D8M75	4.121915687	4.291616113	no_zinc	M75	-0.211250757	8
D8M12	-0.443961468	-0.059778274	control	M12	-0.382327818	8
D8M22	-0.301565792	0.079369006	control	M22	-0.382327818	8
D8M56	-0.399293359	-0.183382169	no_zinc	M56	-0.211250757	8
D8M57	-0.405366549	-0.20857786	no_zinc	M57	-0.211250757	8
D8M65	2.262241765	2.450653973	no_zinc	M65	-0.211250757	8
D8M9	-0.259443453	0.121258811	control	M9	-0.382327818	8
D8M18	-0.256162483	0.128946969	control	M18	-0.382327818	8
D8M38	-0.268306141	0.112791519	control	M38	-0.382327818	8
D8M47	-0.32429647	-0.102137641	no_zinc	M47	-0.211250757	8
D8M55	-0.262749998	-0.049436059	no_zinc	M55	-0.211250757	8
D8M59	-0.216285716	-0.00457202	no_zinc	M59	-0.211250757	8
D8M70	-0.280986583	-0.067480681	no_zinc	M70	-0.211250757	8
D8M15	-0.381694086	-0.001622121	control	M15	-0.382327818	8
D8M2	-0.401937038	-0.016720565	control	M2	-0.382327818	8
