	true_val	treatment	predicted k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	mouseid	residual	day
D32M3	2.080859025	control	1.069661091	M3	0.800587481	32
D32M54	3.599757686	no_zinc	1.585462555	M54	1.943569569	32
D32M37	-0.272932357	control	1.069661091	M37	-1.148438068	32
D32M40	1.612995481	control	1.069661091	M40	0.076470813	32
D32M8	2.756185252	control	1.069661091	M8	1.674741638	32
D32M19	2.196758675	control	1.069661091	M19	0.307072743	32
D32M27	1.771573572	control	1.069661091	M27	0.181976165	32
D32M31	4.652871093	control	1.069661091	M31	3.384593459	32
D32M34	-1.326948573	control	1.069661091	M34	-2.290661134	32
D32M52	2.756765593	no_zinc	1.585462555	M52	1.198686445	32
D32M62	-0.423442713	no_zinc	1.585462555	M62	-1.670649524	32
D32M13	-0.295601846	control	1.069661091	M13	-1.734195388	32
D32M38	5.028364014	control	1.069661091	M38	3.872075865	32
D32M59	-0.45494813	no_zinc	1.585462555	M59	-1.610858978	32
D32M70	6.141580335	no_zinc	1.585462555	M70	4.224662176	32
D32M15	-0.42528184	control	1.069661091	M15	-1.379276188	32
D32M2	4.064254244	control	1.069661091	M2	2.803354389	32
D32M32	2.544779065	control	1.069661091	M32	1.606094633	32
D32M4	-0.31253147	control	1.069661091	M4	-0.98892506	32
D32M67	-0.58161111	no_zinc	1.585462555	M67	-2.386372051	32
D32M10	1.236363731	control	1.069661091	M10	0.39661656	32
D32M53	-1.38365382	no_zinc	1.585462555	M53	-2.933109291	32
D32M61	1.241781084	no_zinc	1.585462555	M61	-0.065453331	32
D32M69	2.489672663	no_zinc	1.585462555	M69	1.102057974	32
D32M7	2.029619804	control	1.069661091	M7	1.266004262	32
D32M29	-1.017700279	control	1.069661091	M29	-1.688738496	32
D32M36	-0.386820118	control	1.069661091	M36	-1.207536186	32
D16M48	2.620887365	no_zinc	1.308651021	M48	1.085307838	16
D16M1	-0.267711421	control	1.147269147	M1	-1.138626663	16
D16M28	-0.211869034	control	1.147269147	M28	-1.074769467	16
D16M37	-0.441822615	control	1.147269147	M37	-1.394936382	16
D16M21	-0.326255491	control	1.147269147	M21	-1.162735826	16
D16M27	1.812394603	control	1.147269147	M27	0.14518914	16
D16M30	3.217895408	control	1.147269147	M30	2.012256501	16
D16M33	-0.467013738	control	1.147269147	M33	-1.294518914	16
D16M35	-0.360944129	control	1.147269147	M35	-1.385567525	16
