	treatment	true_val	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;__	residual	day	mouseid
D32M3	control	2.60157577	4.197550368	-1.276039631	32	M3
D32M54	no_zinc	6.461852951	3.545305859	2.75389517	32	M54
D32M37	control	-0.272932357	4.197550368	-3.806336477	32	M37
D32M40	control	7.037727274	4.197550368	2.242011718	32	M40
D32M8	control	4.611450786	4.197550368	0.8376018	32	M8
D32M19	control	4.41931765	4.197550368	0.668705172	32	M19
D32M27	control	8.017340535	4.197550368	3.009125528	32	M27
D32M31	control	10.81689024	4.197550368	5.747991567	32	M31
D32M34	control	6.540071892	4.197550368	2.121568684	32	M34
D32M52	no_zinc	6.519545016	3.545305859	2.895257538	32	M52
D32M62	no_zinc	-0.423442713	3.545305859	-3.654597596	32	M62
D32M13	control	3.960726932	4.197550368	-0.213319805	32	M13
D32M38	control	-0.568039096	4.197550368	-4.476352721	32	M38
D32M59	no_zinc	2.650067595	3.545305859	-0.307084214	32	M59
D32M70	no_zinc	8.582059699	3.545305859	4.460268028	32	M70
D32M15	control	9.816161721	4.197550368	4.857590828	32	M15
D32M2	control	6.310691349	4.197550368	1.349349182	32	M2
D32M32	control	1.901298864	4.197550368	-1.715219385	32	M32
D32M4	control	-0.31253147	4.197550368	-4.327806853	32	M4
D32M67	no_zinc	2.904202634	3.545305859	-0.27697374	32	M67
D32M10	control	4.994473488	4.197550368	0.256310763	32	M10
D32M53	no_zinc	6.242907953	3.545305859	2.660698504	32	M53
D32M61	no_zinc	2.454000071	3.545305859	-0.8780171	32	M61
D32M69	no_zinc	-0.263954945	3.545305859	-3.658925621	32	M69
D32M7	control	2.410761637	4.197550368	-1.98334474	32	M7
D32M29	control	3.316260695	4.197550368	-0.788624163	32	M29
D32M36	control	1.552240324	4.197550368	-2.474619719	32	M36
D16M48	no_zinc	2.620887365	4.376493883	-1.401204856	16	M48
D16M1	control	1.634768208	4.528772435	-2.192513499	16	M1
D16M28	control	1.849082225	4.528772435	-2.618919179	16	M28
D16M37	control	2.954867149	4.528772435	-0.909759039	16	M37
D16M21	control	2.376897389	4.528772435	-2.18043937	16	M21
D16M27	control	8.307134733	4.528772435	2.967697658	16	M27
D16M30	control	2.725979654	4.528772435	-1.333550726	16	M30
D16M33	control	8.451307932	4.528772435	3.280848281	16	M33
D16M35	control	2.508260199	4.528772435	-1.744775749	16	M35
D16M75	no_zinc	2.300330304	4.376493883	-2.177185526	16	M75
D16M12	control	3.587505396	4.528772435	-0.946333498	16	M12
D16M13	control	7.115706889	4.528772435	2.610438085	16	M13
D16M46	no_zinc	2.44089677	4.376493883	-1.579930983	16	M46
D16M56	no_zinc	9.033788404	4.376493883	4.18689105	16	M56
D16M18	control	7.019145361	4.528772435	2.356410719	16	M18
D16M47	no_zinc	6.960635652	4.376493883	2.076102265	16	M47
