	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__	true_val	treatment	day	mouseid	residual
D32M3	-0.409524364	-0.338015235	control	32	M3	0.071840142
D32M54	-0.7397547	-1.493917071	no_zinc	32	M54	-0.739774097
D32M37	-0.409524364	-0.272932357	control	32	M37	0.13387247
D32M40	-0.409524364	-0.394762682	control	32	M40	0.015018521
D32M8	-0.409524364	-1.187194178	control	32	M8	-0.762849108
D32M19	-0.409524364	-0.263029269	control	32	M19	0.144961966
D32M27	-0.409524364	-0.588474651	control	32	M27	-0.175970962
D32M31	-0.409524364	-0.641696828	control	32	M31	-0.227623039
D32M34	-0.409524364	-1.326948573	control	32	M34	-0.900012585
D32M52	-0.7397547	-1.23786888	no_zinc	32	M52	-0.486827957
D32M62	-0.7397547	-0.423442713	no_zinc	32	M62	0.311301056
D32M13	-0.409524364	-0.295601846	control	32	M13	0.119733578
D32M38	-0.409524364	-0.568039096	control	32	M38	-0.157888453
D32M59	-0.7397547	-0.45494813	no_zinc	32	M59	0.2761868
D32M70	-0.7397547	-0.576196445	no_zinc	32	M70	0.155402377
D32M15	-0.409524364	-0.42528184	control	32	M15	-0.017101601
D32M2	-0.409524364	-0.898820939	control	32	M2	-0.480757873
D32M32	-0.409524364	3.035025968	control	32	M32	3.376337728
D32M4	-0.409524364	-0.31253147	control	32	M4	0.092630788
D32M67	-0.7397547	-0.58161111	no_zinc	32	M67	0.153361868
D32M10	-0.409524364	-0.399114117	control	32	M10	0.016255294
D32M53	-0.7397547	-1.38365382	no_zinc	32	M53	-0.631932471
D32M61	-0.7397547	-0.304579142	no_zinc	32	M61	0.424032948
D32M69	-0.7397547	-0.263954945	no_zinc	32	M69	0.470555696
D32M7	-0.409524364	-0.600226448	control	32	M7	-0.186890791
D32M29	-0.409524364	-1.017700279	control	32	M29	-0.601164325
D32M36	-0.409524364	-0.386820118	control	32	M36	0.017922358
D16M48	-0.499570668	-0.445931959	no_zinc	16	M48	0.078998572
D16M1	-0.380284026	-0.267711421	control	16	M1	0.106757942
D16M28	-0.380284026	-0.211869034	control	16	M28	0.164149086
D16M37	-0.380284026	-0.441822615	control	16	M37	-0.064258125
D16M21	-0.380284026	-0.326255491	control	16	M21	0.054867962
D16M27	-0.380284026	-0.352145768	control	16	M27	0.031117583
