	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	true_val	residual	treatment	mouseid	day
D32M3	1.581045605	-0.338015235	-1.919060843	control	M3	32
D32M54	2.751804827	7.556436831	4.804631995	no_zinc	M54	32
D32M37	1.581045605	-0.272932357	-1.85397796	control	M37	32
D32M40	1.581045605	3.626941985	2.045896379	control	M40	32
D32M8	1.581045605	5.58556967	4.00452406	control	M8	32
D32M19	1.581045605	-0.263029269	-1.844074868	control	M19	32
D32M27	1.581045605	1.771573572	0.190527973	control	M27	32
D32M31	1.581045605	1.924424407	0.343378804	control	M31	32
D32M34	1.581045605	7.761697912	6.180652297	control	M34	32
D32M52	2.751804827	7.712083218	4.960278378	no_zinc	M52	32
D32M62	2.751804827	-0.423442713	-3.175247535	no_zinc	M62	32
D32M13	1.581045605	-0.295601846	-1.876647458	control	M13	32
D32M38	1.581045605	-0.568039096	-2.149084695	control	M38	32
D32M59	2.751804827	4.576869315	1.825064488	no_zinc	M59	32
D32M70	2.751804827	-0.576196445	-3.328001262	no_zinc	M70	32
D32M15	1.581045605	-0.42528184	-2.006327439	control	M15	32
D32M2	1.581045605	7.382916247	5.801870636	control	M2	32
D32M32	1.581045605	-0.432699628	-2.013745228	control	M32	32
D32M4	1.581045605	-0.31253147	-1.893577066	control	M4	32
D32M67	2.751804827	-0.58161111	-3.33341593	no_zinc	M67	32
D32M10	1.581045605	-0.399114117	-1.980159726	control	M10	32
D32M53	2.751804827	8.040530334	5.288725501	no_zinc	M53	32
D32M61	2.751804827	2.187225165	-0.564579658	no_zinc	M61	32
D32M69	2.751804827	-0.263954945	-3.015759771	no_zinc	M69	32
D32M7	1.581045605	-0.600226448	-2.181272049	control	M7	32
D32M29	1.581045605	-1.017700279	-2.598745879	control	M29	32
D32M36	1.581045605	-0.386820118	-1.967865714	control	M36	32
D16M48	1.532501366	-0.445931959	-1.978433332	no_zinc	M48	16
D16M1	1.303689498	-0.267711421	-1.571400914	control	M1	16
D16M28	1.303689498	-0.211869034	-1.515558526	control	M28	16
D16M37	1.303689498	3.631130636	2.327441139	control	M37	16
D16M21	1.303689498	-0.326255491	-1.629944992	control	M21	16
D16M27	1.303689498	-0.352145768	-1.655835261	control	M27	16
D16M30	1.303689498	-0.335240933	-1.638930425	control	M30	16
D16M33	1.303689498	1.278728404	-0.024961091	control	M33	16
D16M35	1.303689498	3.172625085	1.868935576	control	M35	16
D16M75	1.532501366	-0.249377896	-1.781879266	no_zinc	M75	16
D16M12	1.303689498	-0.440341541	-1.744031045	control	M12	16
D16M13	1.303689498	8.027463883	6.723774378	control	M13	16
D16M46	1.532501366	-0.442441282	-1.974942643	no_zinc	M46	16
D16M56	1.532501366	-0.421942209	-1.95444357	no_zinc	M56	16
D16M18	1.303689498	7.685163926	6.381474411	control	M18	16
D16M47	1.532501366	7.73762273	6.205121341	no_zinc	M47	16
D16M70	1.532501366	-0.278869712	-1.811371067	no_zinc	M70	16
D16M39	1.303689498	-0.390351308	-1.6940408	control	M39	16
D16M76	1.532501366	-0.399493942	-1.9319953	no_zinc	M76	16
D16M10	1.303689498	8.306305011	7.002615509	control	M10	16
D16M66	1.532501366	-0.239327047	-1.771828406	no_zinc	M66	16
D16M68	1.532501366	-0.45445975	-1.986961108	no_zinc	M68	16
D16M49	1.532501366	-0.269736066	-1.802237427	no_zinc	M49	16
D16M7	1.303689498	-0.340803249	-1.644492743	control	M7	16
D16M29	1.303689498	-0.279847393	-1.583536886	control	M29	16
D16M25	1.303689498	7.953370003	6.649680497	control	M25	16
D8M3	1.165011445	1.859674701	0.694663253	control	M3	8
D8M48	0.922849635	6.942498749	6.019649107	no_zinc	M48	8
D8M54	0.922849635	1.39493616	0.472086515	no_zinc	M54	8
D8M71	0.922849635	4.671289253	3.748439608	no_zinc	M71	8
D8M11	1.165011445	-0.193065094	-1.358076533	control	M11	8
D8M75	0.922849635	5.041598305	4.118748667	no_zinc	M75	8
D8M12	1.165011445	2.963084473	1.798073023	control	M12	8
D8M22	1.165011445	1.962512759	0.797501312	control	M22	8
D8M56	0.922849635	1.122011532	0.199161902	no_zinc	M56	8
D8M57	0.922849635	3.416850462	2.494000823	no_zinc	M57	8
D8M65	0.922849635	1.704343059	0.781493424	no_zinc	M65	8
D8M9	1.165011445	-0.259443453	-1.424454892	control	M9	8
D8M18	1.165011445	-0.256162483	-1.421173946	control	M18	8
D8M38	1.165011445	1.808171736	0.643160297	control	M38	8
D8M47	0.922849635	-0.32429647	-1.24714613	no_zinc	M47	8
D8M55	0.922849635	-0.262749998	-1.18559963	no_zinc	M55	8
D8M59	0.922849635	-0.216285716	-1.139135351	no_zinc	M59	8
D8M70	0.922849635	1.613639106	0.690789481	no_zinc	M70	8
D8M15	1.165011445	1.195734338	0.0307229	control	M15	8
D8M2	1.165011445	-0.401937038	-1.566948489	control	M2	8
D8M32	1.165011445	2.111446287	0.946434846	control	M32	8
D8M39	1.165011445	-0.289547119	-1.454558559	control	M39	8
D8M4	1.165011445	-0.24014142	-1.405152855	control	M4	8
