	treatment	mouseid	residual	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius	day	true_val
D32M3	control	M3	-0.643161452	0.305146217	32	-0.338015235
D32M54	no_zinc	M54	0.788474689	0.948339727	32	1.736814416
D32M37	control	M37	-0.578078574	0.305146217	32	-0.272932357
D32M40	control	M40	-0.699908899	0.305146217	32	-0.394762682
D32M8	control	M8	2.169797047	0.305146217	32	2.474943265
D32M19	control	M19	-0.568175486	0.305146217	32	-0.263029269
D32M27	control	M27	-0.893620869	0.305146217	32	-0.588474651
D32M31	control	M31	-0.946843044	0.305146217	32	-0.641696828
D32M34	control	M34	2.402250556	0.305146217	32	2.707396773
D32M52	no_zinc	M52	-2.186208607	0.948339727	32	-1.23786888
D32M62	no_zinc	M62	-1.371782439	0.948339727	32	-0.423442713
D32M13	control	M13	-0.600748063	0.305146217	32	-0.295601846
D32M38	control	M38	-0.873185312	0.305146217	32	-0.568039096
D32M59	no_zinc	M59	-1.403287857	0.948339727	32	-0.45494813
D32M70	no_zinc	M70	-1.524536171	0.948339727	32	-0.576196445
D32M15	control	M15	-0.730428057	0.305146217	32	-0.42528184
D32M2	control	M2	1.323055609	0.305146217	32	1.628201826
D32M32	control	M32	-0.737845845	0.305146217	32	-0.432699628
D32M4	control	M4	-0.617677688	0.305146217	32	-0.31253147
D32M67	no_zinc	M67	6.049463732	0.948339727	32	6.99780346
D32M10	control	M10	-0.704260334	0.305146217	32	-0.399114117
D32M53	no_zinc	M53	1.349301889	0.948339727	32	2.297641616
D32M61	no_zinc	M61	-1.252918869	0.948339727	32	-0.304579142
D32M69	no_zinc	M69	-1.212294672	0.948339727	32	-0.263954945
D32M7	control	M7	1.460537189	0.305146217	32	1.765683406
D32M29	control	M29	-1.322846495	0.305146217	32	-1.017700279
D32M36	control	M36	-0.691966335	0.305146217	32	-0.386820118
D16M48	no_zinc	M48	-0.846708021	0.400776061	16	-0.445931959
D16M1	control	M1	-0.363775753	0.096064331	16	-0.267711421
D16M28	control	M28	-0.307933365	0.096064331	16	-0.211869034
D16M37	control	M37	-0.537886946	0.096064331	16	-0.441822615
D16M21	control	M21	-0.422319822	0.096064331	16	-0.326255491
D16M27	control	M27	-0.4482101	0.096064331	16	-0.352145768
D16M30	control	M30	4.059564068	0.096064331	16	4.155628401
D16M33	control	M33	6.360174215	0.096064331	16	6.456238548
D16M35	control	M35	-0.45700846	0.096064331	16	-0.360944129
D16M75	no_zinc	M75	-0.650153958	0.400776061	16	-0.249377896
D16M12	control	M12	2.427834156	0.096064331	16	2.523898487
D16M13	control	M13	-0.945442512	0.096064331	16	-0.849378181
D16M46	no_zinc	M46	-0.843217343	0.400776061	16	-0.442441282
D16M56	no_zinc	M56	-0.82271827	0.400776061	16	-0.421942209
D16M18	control	M18	-0.772844201	0.096064331	16	-0.67677987
D16M47	no_zinc	M47	-1.197192891	0.400776061	16	-0.79641683
D16M70	no_zinc	M70	-0.679645772	0.400776061	16	-0.278869712
D16M39	control	M39	-0.486415639	0.096064331	16	-0.390351308
D16M76	no_zinc	M76	2.62758851	0.400776061	16	3.028364571
D16M10	control	M10	-0.890760494	0.096064331	16	-0.794696163
D16M66	no_zinc	M66	-0.640103108	0.400776061	16	-0.239327047
D16M68	no_zinc	M68	5.105521369	0.400776061	16	5.506297431
D16M49	no_zinc	M49	-0.670512127	0.400776061	16	-0.269736066
D16M7	control	M7	-0.436867581	0.096064331	16	-0.340803249
