	predicted k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__rc4-4;s__	residual	day	true_val	mouseid	treatment
D32M3	0.118758515	-0.456773748	32	-0.338015235	M3	control
D32M54	0.879412886	2.49873392	32	3.378146818	M54	no_zinc
D32M37	0.118758515	-0.391690869	32	-0.272932357	M37	control
D32M40	0.118758515	-0.513521195	32	-0.394762682	M40	control
D32M8	0.118758515	-1.305952688	32	-1.187194178	M8	control
D32M19	0.118758515	-0.381787782	32	-0.263029269	M19	control
D32M27	0.118758515	2.83575648	32	2.954515007	M27	control
D32M31	0.118758515	2.185186324	32	2.303944849	M31	control
D32M34	0.118758515	4.183817165	32	4.302575698	M34	control
D32M52	0.879412886	2.408647037	32	3.288059935	M52	no_zinc
D32M62	0.879412886	-1.302855594	32	-0.423442713	M62	no_zinc
D32M13	0.118758515	-0.414360357	32	-0.295601846	M13	control
D32M38	0.118758515	-0.686797608	32	-0.568039096	M38	control
D32M59	0.879412886	-1.334361012	32	-0.45494813	M59	no_zinc
D32M70	0.879412886	1.456142653	32	2.335555544	M70	no_zinc
D32M15	0.118758515	-0.544040353	32	-0.42528184	M15	control
D32M2	0.118758515	-1.017579449	32	-0.898820939	M2	control
D32M32	0.118758515	-0.551458141	32	-0.432699628	M32	control
D32M4	0.118758515	-0.431289984	32	-0.31253147	M4	control
D32M67	0.879412886	-1.461023991	32	-0.58161111	M67	no_zinc
D32M10	0.118758515	-0.517872627	32	-0.399114117	M10	control
D32M53	0.879412886	3.007308545	32	3.886721444	M53	no_zinc
D32M61	0.879412886	-1.183992025	32	-0.304579142	M61	no_zinc
D32M69	0.879412886	-1.143367826	32	-0.263954945	M69	no_zinc
D32M7	0.118758515	1.910861282	32	2.029619804	M7	control
D32M29	0.118758515	-1.136458789	32	-1.017700279	M29	control
D32M36	0.118758515	-0.505578632	32	-0.386820118	M36	control
D16M48	0.139920185	-0.585852154	16	-0.445931959	M48	no_zinc
D16M1	-0.167696939	-0.100014483	16	-0.267711421	M1	control
D16M28	-0.167696939	-0.044172095	16	-0.211869034	M28	control
D16M37	-0.167696939	-0.274125673	16	-0.441822615	M37	control
D16M21	-0.167696939	-0.158558551	16	-0.326255491	M21	control
D16M27	-0.167696939	-0.184448841	16	-0.352145768	M27	control
D16M30	-0.167696939	-0.167543993	16	-0.335240933	M30	control
D16M33	-0.167696939	-0.299316797	16	-0.467013738	M33	control
D16M35	-0.167696939	-0.193247188	16	-0.360944129	M35	control
D16M75	0.139920185	-0.389298079	16	-0.249377896	M75	no_zinc
D16M12	-0.167696939	-0.2726446	16	-0.440341541	M12	control
D16M13	-0.167696939	-0.681681238	16	-0.849378181	M13	control
D16M46	0.139920185	-0.582361466	16	-0.442441282	M46	no_zinc
D16M56	0.139920185	-0.561862392	16	-0.421942209	M56	no_zinc
D16M18	-0.167696939	-0.509082928	16	-0.67677987	M18	control
D16M47	0.139920185	-0.93633701	16	-0.79641683	M47	no_zinc
D16M70	0.139920185	-0.418789902	16	-0.278869712	M70	no_zinc
D16M39	-0.167696939	-0.222654368	16	-0.390351308	M39	control
D16M76	0.139920185	-0.539414125	16	-0.399493942	M76	no_zinc
D16M10	-0.167696939	-0.626999219	16	-0.794696163	M10	control
D16M66	0.139920185	-0.379247231	16	-0.239327047	M66	no_zinc
D16M68	0.139920185	-0.594379933	16	-0.45445975	M68	no_zinc
D16M49	0.139920185	-0.40965625	16	-0.269736066	M49	no_zinc
D16M7	-0.167696939	-0.173106317	16	-0.340803249	M7	control
D16M29	-0.167696939	-0.112150448	16	-0.279847393	M29	control
D16M25	-0.167696939	-0.912430385	16	-1.080127328	M25	control
D8M3	-0.310924667	0.057166266	8	-0.253758403	M3	control
D8M48	-0.229826165	2.62091245	8	2.391086295	M48	no_zinc
D8M54	-0.229826165	-0.064942333	8	-0.294768487	M54	no_zinc
D8M71	-0.229826165	-0.492498324	8	-0.722324491	M71	no_zinc
D8M11	-0.310924667	0.117859572	8	-0.193065094	M11	control
D8M75	-0.229826165	-0.392245934	8	-0.622072101	M75	no_zinc
D8M12	-0.310924667	-0.133036799	8	-0.443961468	M12	control
D8M22	-0.310924667	0.009358874	8	-0.301565792	M22	control
D8M56	-0.229826165	-0.169467192	8	-0.399293359	M56	no_zinc
D8M57	-0.229826165	-0.175540383	8	-0.405366549	M57	no_zinc
D8M65	-0.229826165	-0.780106912	8	-1.00993308	M65	no_zinc
