	mouseid	treatment	day	residual	true_val	predicted k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Proteus;s__
D32M3	M3	control	32	1.543651249	10.56874759	9.025096923
D32M54	M54	no_zinc	32	0.229161708	7.803597914	7.574436645
D32M37	M37	control	32	1.87451909	10.89961606	9.025096923
D32M40	M40	control	32	1.43726544	10.46236174	9.025096923
D32M8	M8	control	32	1.149469788	10.17456623	9.025096923
D32M19	M19	control	32	2.169274192	11.19437178	9.025096923
D32M27	M27	control	32	1.723950099	10.74904815	9.025096923
D32M31	M31	control	32	-3.5277994	5.497296958	9.025096923
D32M34	M34	control	32	-0.070220746	8.954876506	9.025096923
D32M52	M52	no_zinc	32	1.103212234	8.677648259	7.574436645
D32M62	M62	no_zinc	32	-1.77894738	5.795488193	7.574436645
D32M13	M13	control	32	-0.384875063	8.640221706	9.025096923
D32M38	M38	control	32	-3.709978853	5.315117859	9.025096923
D32M59	M59	no_zinc	32	-1.043095568	6.531340666	7.574436645
D32M70	M70	no_zinc	32	-1.15871104	6.415726925	7.574436645
D32M15	M15	control	32	1.67566298	10.70076105	9.025096923
D32M2	M2	control	32	1.179412742	10.20450817	9.025096923
D32M32	M32	control	32	-3.23475907	5.790337811	9.025096923
D32M4	M4	control	32	1.864971115	10.89006782	9.025096923
D32M67	M67	no_zinc	32	-2.252317371	5.322119733	7.574436645
D32M10	M10	control	32	1.940080289	10.96517797	9.025096923
D32M53	M53	no_zinc	32	-2.043218503	5.531218527	7.574436645
D32M61	M61	no_zinc	32	3.574899674	11.14933699	7.574436645
D32M69	M69	no_zinc	32	-1.769537585	5.804898225	7.574436645
D32M7	M7	control	32	-3.889011459	5.136085454	9.025096923
D32M29	M29	control	32	-3.822927263	5.202169903	9.025096923
D32M36	M36	control	32	1.772613335	10.79771144	9.025096923
D16M48	M48	no_zinc	16	-2.914988999	5.571370579	8.48635992
D16M1	M1	control	16	1.684390901	11.07152419	9.387132476
D16M28	M28	control	16	0.965538729	10.35267179	9.387132476
D16M37	M37	control	16	-3.110832728	6.276299798	9.387132476
D16M21	M21	control	16	1.495094093	10.88222724	9.387132476
D16M27	M27	control	16	1.59047538	10.97760898	9.387132476
D16M30	M30	control	16	-4.368996313	5.018135417	9.387132476
D16M33	M33	control	16	1.393854771	10.78098789	9.387132476
D16M35	M35	control	16	1.515696863	10.90283003	9.387132476
D16M75	M75	no_zinc	16	2.452983988	10.93934528	8.48635992
D16M12	M12	control	16	-1.513289037	7.873842341	9.387132476
D16M13	M13	control	16	-1.017883505	8.369248816	9.387132476
D16M46	M46	no_zinc	16	-1.830184555	6.656175392	8.48635992
D16M56	M56	no_zinc	16	-1.822427819	6.663932549	8.48635992
D16M18	M18	control	16	0.793273273	10.18040644	9.387132476
D16M47	M47	no_zinc	16	1.461548098	9.947908356	8.48635992
D16M70	M70	no_zinc	16	2.685031367	11.17139261	8.48635992
D16M39	M39	control	16	-3.394052181	5.993080038	9.387132476
D16M76	M76	no_zinc	16	-1.571653669	6.914703596	8.48635992
D16M10	M10	control	16	-1.752257464	7.634875767	9.387132476
D16M66	M66	no_zinc	16	0.363394339	8.849752771	8.48635992
D16M68	M68	no_zinc	16	2.519012055	11.00537355	8.48635992
D16M49	M49	no_zinc	16	-2.883033086	5.603326726	8.48635992
D16M7	M7	control	16	1.550583698	10.93771616	9.387132476
D16M29	M29	control	16	1.779734079	11.1668668	9.387132476
D16M25	M25	control	16	-2.529761687	6.857370823	9.387132476
D8M3	M3	control	8	0.645490321	10.21363999	9.568150253
D8M48	M48	no_zinc	8	-0.259560297	8.682760919	8.942321558
D8M54	M54	no_zinc	8	-3.704415092	5.237906026	8.942321558
D8M71	M71	no_zinc	8	1.200428784	10.14275103	8.942321558
D8M11	M11	control	8	-4.344371226	5.223776971	9.568150253
D8M75	M75	no_zinc	8	1.219271036	10.16159396	8.942321558
D8M12	M12	control	8	1.064308151	10.6324573	9.568150253
D8M22	M22	control	8	1.441511365	11.00966226	9.568150253
D8M56	M56	no_zinc	8	1.804686774	10.74700878	8.942321558
D8M57	M57	no_zinc	8	1.807986295	10.75030854	8.942321558
D8M65	M65	no_zinc	8	0.946197765	9.888518581	8.942321558
D8M9	M9	control	8	1.372174682	10.94032561	9.568150253
D8M18	M18	control	8	1.516564509	11.08471545	9.568150253
D8M38	M38	control	8	1.620710487	11.18886053	9.568150253
D8M47	M47	no_zinc	8	2.048984611	10.99130651	8.942321558
D8M55	M55	no_zinc	8	2.147779326	11.09010058	8.942321558
D8M59	M59	no_zinc	8	2.2062072	11.14852835	8.942321558
D8M70	M70	no_zinc	8	2.171501996	11.11382487	8.942321558
D8M15	M15	control	8	1.482531671	11.05068307	9.568150253
D8M2	M2	control	8	-3.994564985	5.573583768	9.568150253
D8M32	M32	control	8	1.569268504	11.13741872	9.568150253
D8M39	M39	control	8	1.543136695	11.11128669	9.568150253
D8M4	M4	control	8	1.340888194	10.90903823	9.568150253
D8M67	M67	no_zinc	8	2.263668031	11.20599005	8.942321558
D8M74	M74	no_zinc	8	2.165027331	11.10734974	8.942321558
D8M76	M76	no_zinc	8	-4.917110518	4.025208385	8.942321558
D8M79	M79	no_zinc	8	1.132607897	10.07492856	8.942321558
D8M10	M10	control	8	1.583831153	11.15198216	9.568150253
D8M53	M53	no_zinc	8	2.318594227	11.26091617	8.942321558
D8M58	M58	no_zinc	8	2.074216503	11.01653897	8.942321558
D8M61	M61	no_zinc	8	2.340702814	11.28302504	8.942321558
D8M63	M63	no_zinc	8	2.078674473	11.02099698	8.942321558
D8M69	M69	no_zinc	8	1.648865718	10.59118644	8.942321558
D8M72	M72	no_zinc	8	2.218495854	11.16081825	8.942321558
D8M66	M66	no_zinc	8	-3.213083035	5.729237034	8.942321558
D8M68	M68	no_zinc	8	2.110908353	11.05323149	8.942321558
D8M49	M49	no_zinc	8	2.162488577	11.10481003	8.942321558
D8M7	M7	control	8	1.583612721	11.15176296	9.568150253
D8M73	M73	no_zinc	8	1.922654668	10.86497579	8.942321558
D8M29	M29	control	8	1.570444274	11.13859477	9.568150253
D8M36	M36	control	8	1.488850115	11.05700155	9.568150253
D8M25	M25	control	8	1.535460327	11.10361061	9.568150253
D8M50	M50	no_zinc	8	2.244350953	11.18667346	8.942321558
D8M60	M60	no_zinc	8	1.728544879	10.67086669	8.942321558
D8M77	M77	no_zinc	8	0.539208335	9.481529007	8.942321558
D8M78	M78	no_zinc	8	1.266124385	10.20844528	8.942321558
D8M80	M80	no_zinc	8	-4.387162704	4.555156696	8.942321558
D2M3	M3	control	2	-4.556108931	5.147804072	9.703913585
D2M48	M48	no_zinc	2	1.78245775	11.06675019	9.284292786
D2M54	M54	no_zinc	2	1.688145492	10.97243784	9.284292786
D2M1	M1	control	2	1.604153574	11.30806797	9.703913585
D2M14	M14	control	2	-3.352034674	6.351878087	9.703913585
D2M23	M23	control	2	1.5144236	11.21833756	9.703913585
D2M26	M26	control	2	0.653945622	10.35785937	9.703913585
D2M28	M28	control	2	1.415508256	11.11942243	9.703913585
D2M37	M37	control	2	1.439797778	11.14371141	9.703913585
D2M40	M40	control	2	-3.986371876	5.717541083	9.703913585
D2M43	M43	no_zinc	2	1.726362425	11.01065563	9.284292786
D2M64	M64	no_zinc	2	1.828698899	11.11299213	9.284292786
D2M71	M71	no_zinc	2	1.607939557	10.89223303	9.284292786
D2M8	M8	control	2	-3.097672566	6.60624054	9.703913585
D2M11	M11	control	2	-4.018731635	5.685179894	9.703913585
D2M16	M16	control	2	1.420695279	11.12460921	9.703913585
D2M17	M17	control	2	-3.555262713	6.148649998	9.703913585
D2M19	M19	control	2	0.526689909	10.23060416	9.703913585
D2M20	M20	control	2	1.219808588	10.92372247	9.703913585
D2M21	M21	control	2	1.230664341	10.9345786	9.703913585
D2M24	M24	control	2	0.41200133	10.11591502	9.703913585
D2M27	M27	control	2	1.27565308	10.97956779	9.703913585
D2M30	M30	control	2	1.333347401	11.03726024	9.703913585
D2M31	M31	control	2	1.229556318	10.93346934	9.703913585
D2M33	M33	control	2	1.214159757	10.91807398	9.703913585
D2M34	M34	control	2	1.408950519	11.11286443	9.703913585
D2M35	M35	control	2	1.280812422	10.98472669	9.703913585
D2M52	M52	no_zinc	2	-3.62549449	5.658797676	9.284292786
D2M6	M6	control	2	-4.448817828	5.255094664	9.703913585
D2M62	M62	no_zinc	2	-2.583050353	6.701241361	9.284292786
D2M75	M75	no_zinc	2	1.8884655	11.17275965	9.284292786
D2M12	M12	control	2	-4.021345568	5.682566918	9.703913585
D2M13	M13	control	2	0.774354207	10.47826764	9.703913585
D2M22	M22	control	2	1.168295079	10.87220931	9.703913585
D2M46	M46	no_zinc	2	1.938118932	11.22241174	9.284292786
D2M5	M5	control	2	-3.531615017	6.1722977	9.703913585
D2M56	M56	no_zinc	2	1.837292273	11.12158551	9.284292786
D2M57	M57	no_zinc	2	0.992971688	10.27726516	9.284292786
D2M65	M65	no_zinc	2	-3.960993842	5.323298202	9.284292786
D2M9	M9	control	2	1.365103592	11.06901785	9.703913585
D2M18	M18	control	2	0.481938153	10.18585242	9.703913585
D2M38	M38	control	2	1.231267125	10.9351805	9.703913585
D2M47	M47	no_zinc	2	-2.138182241	7.146110883	9.284292786
D2M55	M55	no_zinc	2	-3.394672654	5.889619826	9.284292786
D2M59	M59	no_zinc	2	-2.833053809	6.451238567	9.284292786
D2M70	M70	no_zinc	2	1.671494271	10.95578838	9.284292786
D2M15	M15	control	2	1.506013804	11.20992854	9.703913585
D2M2	M2	control	2	-3.285245154	6.418666932	9.703913585
D2M32	M32	control	2	1.495519064	11.19943261	9.703913585
D2M39	M39	control	2	0.804727216	10.50864054	9.703913585
D2M4	M4	control	2	-4.092538691	5.611374676	9.703913585
D2M67	M67	no_zinc	2	1.85508774	11.13938098	9.284292786
D2M74	M74	no_zinc	2	1.316786183	10.60107983	9.284292786
D2M76	M76	no_zinc	2	-4.310535092	4.973755039	9.284292786
D2M79	M79	no_zinc	2	-4.773278493	4.511013398	9.284292786
D2M10	M10	control	2	1.301490141	11.00540448	9.703913585
D2M51	M51	no_zinc	2	1.895531421	11.17982467	9.284292786
D2M53	M53	no_zinc	2	1.291093912	10.57538708	9.284292786
D2M58	M58	no_zinc	2	1.627705256	10.91199895	9.284292786
D2M61	M61	no_zinc	2	-3.190312147	6.093981309	9.284292786
D2M63	M63	no_zinc	2	1.772957789	11.05725152	9.284292786
D2M69	M69	no_zinc	2	-3.277188606	6.007103345	9.284292786
D2M72	M72	no_zinc	2	1.200492601	10.48478623	9.284292786
D2M66	M66	no_zinc	2	-3.206302045	6.077989252	9.284292786
D2M68	M68	no_zinc	2	1.77961593	11.06391029	9.284292786
