	mouseid	treatment	residual	predicted k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__	day	true_val
D32M3	M3	control	0.15310497	-0.489551021	32	-0.338015235
D32M54	M54	no_zinc	-0.82251359	-0.629917141	32	-1.493917071
D32M37	M37	control	0.209183215	-0.489551021	32	-0.272932357
D32M40	M40	control	0.094618877	-0.489551021	32	-0.394762682
D32M8	M8	control	-0.66203811	-0.489551021	32	-1.187194178
D32M19	M19	control	0.086702303	-0.489551021	32	-0.263029269
D32M27	M27	control	-0.092732745	-0.489551021	32	-0.588474651
D32M31	M31	control	-0.141771013	-0.489551021	32	-0.641696828
D32M34	M34	control	-0.795428206	-0.489551021	32	-1.326948573
D32M52	M52	no_zinc	-0.574389194	-0.629917141	32	-1.23786888
D32M62	M62	no_zinc	0.200004836	-0.629917141	32	-0.423442713
D32M13	M13	control	0.206910916	-0.489551021	32	-0.295601846
D32M38	M38	control	-0.076212891	-0.489551021	32	-0.568039096
D32M59	M59	no_zinc	0.161441682	-0.629917141	32	-0.45494813
D32M70	M70	no_zinc	0.044018045	-0.629917141	32	-0.576196445
D32M15	M15	control	0.061833005	-0.489551021	32	-0.42528184
D32M2	M2	control	1.675734328	-0.489551021	32	1.261907688
D32M32	M32	control	0.050072022	-0.489551021	32	-0.432699628
D32M4	M4	control	0.167367195	-0.489551021	32	-0.31253147
D32M67	M67	no_zinc	0.043955714	-0.629917141	32	-0.58161111
D32M10	M10	control	0.104646875	-0.489551021	32	-0.399114117
D32M53	M53	no_zinc	-0.718040595	-0.629917141	32	-1.38365382
D32M61	M61	no_zinc	0.305778404	-0.629917141	32	-0.304579142
D32M69	M69	no_zinc	0.360506402	-0.629917141	32	-0.263954945
D32M7	M7	control	-0.101206841	-0.489551021	32	-0.600226448
D32M29	M29	control	-0.511219673	-0.489551021	32	-1.017700279
D32M36	M36	control	0.092074822	-0.489551021	32	-0.386820118
D16M48	M48	no_zinc	-0.139720099	-0.440577778	16	-0.445931959
D16M1	M1	control	0.104825525	-0.384038554	16	-0.267711421
D16M28	M28	control	0.164472257	-0.384038554	16	-0.211869034
D16M37	M37	control	-0.06521951	-0.384038554	16	-0.441822615
D16M21	M21	control	0.062626482	-0.384038554	16	-0.326255491
D16M27	M27	control	0.038083671	-0.384038554	16	-0.352145768
D16M30	M30	control	0.045273562	-0.384038554	16	-0.335240933
D16M33	M33	control	-0.073871576	-0.384038554	16	-0.467013738
D16M35	M35	control	0.030287271	-0.384038554	16	-0.360944129
D16M75	M75	no_zinc	0.059141812	-0.440577778	16	-0.249377896
D16M12	M12	control	-0.040794315	-0.384038554	16	-0.440341541
D16M13	M13	control	-0.452377887	-0.384038554	16	-0.849378181
D16M46	M46	no_zinc	-0.002976599	-0.440577778	16	-0.442441282
D16M56	M56	no_zinc	0.022196524	-0.440577778	16	-0.421942209
D16M18	M18	control	-0.272978029	-0.384038554	16	-0.67677987
D16M47	M47	no_zinc	-0.323580592	-0.440577778	16	-0.79641683
D16M70	M70	no_zinc	0.152005416	-0.440577778	16	-0.278869712
D16M39	M39	control	-0.006301285	-0.384038554	16	-0.390351308
D16M76	M76	no_zinc	0.04688696	-0.440577778	16	-0.399493942
D16M10	M10	control	-0.396447638	-0.384038554	16	-0.794696163
D16M66	M66	no_zinc	0.195338726	-0.440577778	16	-0.239327047
D16M68	M68	no_zinc	-0.013171514	-0.440577778	16	-0.45445975
D16M49	M49	no_zinc	0.169878353	-0.440577778	16	-0.269736066
D16M7	M7	control	0.05270389	-0.384038554	16	-0.340803249
D16M29	M29	control	0.121120746	-0.384038554	16	-0.279847393
D16M25	M25	control	-0.66594459	-0.384038554	16	-1.080127328
D8M3	M3	control	0.079093102	-0.331282321	8	-0.253758403
D8M48	M48	no_zinc	2.861511005	-0.345908097	8	2.649968827
D8M54	M54	no_zinc	0.092625951	-0.345908097	8	-0.294768487
D8M71	M71	no_zinc	-0.353050257	-0.345908097	8	-0.722324491
D8M11	M11	control	0.139312388	-0.331282321	8	-0.193065094
D8M75	M75	no_zinc	2.627077442	-0.345908097	8	2.413227415
D8M12	M12	control	-0.097170475	-0.331282321	8	-0.443961468
D8M22	M22	control	0.027508332	-0.331282321	8	-0.301565792
D8M56	M56	no_zinc	-0.049824307	-0.345908097	8	-0.399293359
D8M57	M57	no_zinc	-0.051804461	-0.345908097	8	-0.405366549
D8M65	M65	no_zinc	-0.632627315	-0.345908097	8	-1.00993308
D8M9	M9	control	0.068523323	-0.331282321	8	-0.259443453
D8M18	M18	control	0.094883124	-0.331282321	8	-0.256162483
D8M38	M38	control	0.065251363	-0.331282321	8	-0.268306141
D8M47	M47	no_zinc	0.053870087	-0.345908097	8	-0.32429647
D8M55	M55	no_zinc	0.079475156	-0.345908097	8	-0.262749998
D8M59	M59	no_zinc	0.116095053	-0.345908097	8	-0.216285716
D8M70	M70	no_zinc	0.055218863	-0.345908097	8	-0.280986583
D8M15	M15	control	-0.052847942	-0.331282321	8	-0.381694086
D8M2	M2	control	-0.146379099	-0.331282321	8	-0.401937038
D8M32	M32	control	0.003367401	-0.331282321	8	-0.321135549
D8M39	M39	control	0.04174667	-0.331282321	8	-0.289547119
D8M4	M4	control	0.081488545	-0.331282321	8	-0.24014142
D8M67	M67	no_zinc	0.087611089	-0.345908097	8	-0.253946691
D8M74	M74	no_zinc	-0.00115682	-0.345908097	8	-0.351449373
D8M76	M76	no_zinc	-0.079381359	-0.345908097	8	-0.431092579
D8M79	M79	no_zinc	0.031199465	-0.345908097	8	-0.325859891
D8M10	M10	control	0.044105802	-0.331282321	8	-0.30138649
D8M53	M53	no_zinc	0.17679643	-0.345908097	8	-0.204807752
D8M58	M58	no_zinc	-0.081228389	-0.345908097	8	-0.434841877
D8M61	M61	no_zinc	0.141714343	-0.345908097	8	-0.184634159
D8M63	M63	no_zinc	-0.013209629	-0.345908097	8	-0.366007064
D8M69	M69	no_zinc	-0.221429897	-0.345908097	8	-0.561882201
D8M72	M72	no_zinc	0.071075189	-0.345908097	8	-0.278468166
D8M66	M66	no_zinc	0.029147682	-0.345908097	8	-0.310848411
D8M68	M68	no_zinc	0.047961901	-0.345908097	8	-0.298656654
D8M49	M49	no_zinc	0.024984499	-0.345908097	8	-0.319960238
D8M7	M7	control	0.034152725	-0.331282321	8	-0.306598181
D8M73	M73	no_zinc	-0.122658579	-0.345908097	8	-0.476092444
D8M29	M29	control	0.03537211	-0.331282321	8	-0.312839795
D8M36	M36	control	0.057709981	-0.331282321	8	-0.262916259
D8M25	M25	control	0.076284065	-0.331282321	8	-0.28514244
D8M50	M50	no_zinc	0.094236298	-0.345908097	8	-0.256403218
D8M60	M60	no_zinc	-0.187393614	-0.345908097	8	-0.569624626
D8M77	M77	no_zinc	-0.049452988	-0.345908097	8	-0.402709686
D8M78	M78	no_zinc	-0.059130477	-0.345908097	8	-0.415724509
D8M80	M80	no_zinc	-0.079391842	-0.345908097	8	-0.437480152
D2M3	M3	control	-0.262474303	-0.291715146	2	-0.555758633
D2M48	M48	no_zinc	-0.129301606	-0.274905836	2	-0.269841524
D2M54	M54	no_zinc	-0.070560083	-0.274905836	2	-0.38695226
D2M1	M1	control	0.117089349	-0.291715146	2	-0.163124189
D2M14	M14	control	-0.566122984	-0.291715146	2	-0.887179672
D2M23	M23	control	0.045436189	-0.291715146	2	-0.243924048
D2M26	M26	control	-0.223754452	-0.291715146	2	-0.527066549
D2M28	M28	control	-0.015959352	-0.291715146	2	-0.299977235
D2M37	M37	control	-0.000502299	-0.291715146	2	-0.284781995
D2M40	M40	control	-0.091349223	-0.291715146	2	-0.382894907
D2M43	M43	no_zinc	-0.101514153	-0.274905836	2	-0.381681358
D2M64	M64	no_zinc	-0.066461859	-0.274905836	2	-0.344812341
D2M71	M71	no_zinc	-0.09778177	-0.274905836	2	-0.396053743
D2M8	M8	control	-0.024934481	-0.291715146	2	-0.352254674
D2M11	M11	control	-0.160442701	-0.291715146	2	-0.453253008
D2M16	M16	control	-0.009044636	-0.291715146	2	-0.301228556
D2M17	M17	control	-0.064576828	-0.291715146	2	-0.359638921
D2M19	M19	control	2.611008774	-0.291715146	2	2.459113077
D2M20	M20	control	-0.087775674	-0.291715146	2	-0.384040138
D2M21	M21	control	-0.156076591	-0.291715146	2	-0.452635155
D2M24	M24	control	0.019899532	-0.291715146	2	-0.270784243
D2M27	M27	control	-0.064799391	-0.291715146	2	-0.362705421
D2M30	M30	control	0.022720518	-0.291715146	2	-0.265470569
D2M31	M31	control	-0.058402821	-0.291715146	2	-0.36049276
D2M33	M33	control	-0.101775673	-0.291715146	2	-0.402594426
D2M34	M34	control	-0.014338749	-0.291715146	2	-0.348023241
D2M35	M35	control	-0.169067825	-0.291715146	2	-0.467975817
D2M52	M52	no_zinc	-0.073174869	-0.274905836	2	-0.381643251
D2M6	M6	control	0.045146975	-0.291715146	2	-0.244228252
D2M62	M62	no_zinc	-0.075178925	-0.274905836	2	-0.343615169
D2M75	M75	no_zinc	-0.138258155	-0.274905836	2	-0.281105921
D2M12	M12	control	-0.161263374	-0.291715146	2	-0.468487192
D2M13	M13	control	-0.004620058	-0.291715146	2	-0.309296944
D2M22	M22	control	0.015097158	-0.291715146	2	-0.274409791
D2M46	M46	no_zinc	0.024452927	-0.274905836	2	-0.249339814
D2M5	M5	control	0.036174748	-0.291715146	2	-0.2536655
D2M56	M56	no_zinc	-0.041078167	-0.274905836	2	-0.319544958
D2M57	M57	no_zinc	-0.095873541	-0.274905836	2	-0.378433368
D2M65	M65	no_zinc	0.026832934	-0.274905836	2	-0.27947057
D2M9	M9	control	-0.004552389	-0.291715146	2	-0.292951991
D2M18	M18	control	-0.203222848	-0.291715146	2	-0.51470128
D2M38	M38	control	-0.032936416	-0.291715146	2	-0.326926745
D2M47	M47	no_zinc	-0.352692208	-0.274905836	2	-0.659856504
D2M55	M55	no_zinc	-0.008415544	-0.274905836	2	-0.279638437
D2M59	M59	no_zinc	-0.01653711	-0.274905836	2	-0.277915617
D2M70	M70	no_zinc	-0.064036985	-0.274905836	2	-0.329240171
D2M15	M15	control	0.038019132	-0.291715146	2	-0.251259838
D2M2	M2	control	-0.068310256	-0.291715146	2	-0.28430102
D2M32	M32	control	0.077363439	-0.291715146	2	-0.207572336
D2M39	M39	control	-0.03566666	-0.291715146	2	-0.327393275
