	residual	true_val	day	mouseid	treatment	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;__
D32M3	-1.498815658	2.286037816	32	M3	control	4.489281869
D32M54	2.03443456	7.837174684	32	M54	no_zinc	5.826458051
D32M37	0.625856046	5.155117135	32	M37	control	4.489281869
D32M40	2.313182243	7.353936457	32	M40	control	4.489281869
D32M8	1.537279405	6.480684416	32	M8	control	4.489281869
D32M19	-1.667285321	2.462845982	32	M19	control	4.489281869
D32M27	-0.969818297	3.395925611	32	M27	control	4.489281869
D32M31	-0.006709401	4.489463852	32	M31	control	4.489281869
D32M34	2.418932503	7.62054144	32	M34	control	4.489281869
D32M52	1.595893832	7.811683721	32	M52	no_zinc	5.826458051
D32M62	-4.897728187	-0.423442713	32	M62	no_zinc	5.826458051
D32M13	-2.056830861	2.406437001	32	M13	control	4.489281869
D32M38	1.633281561	6.396617945	32	M38	control	4.489281869
D32M59	-0.209370522	4.576869315	32	M59	no_zinc	5.826458051
D32M70	2.562924761	7.902661918	32	M70	no_zinc	5.826458051
D32M15	-0.830973253	3.323466046	32	M15	control	4.489281869
D32M2	2.216338303	7.190686356	32	M2	control	4.489281869
D32M32	-0.568034881	3.290167004	32	M32	control	4.489281869
D32M4	-0.706733573	3.059111887	32	M4	control	4.489281869
D32M67	4.6167927	10.8626661	32	M67	no_zinc	5.826458051
D32M10	-2.424705993	2.464664874	32	M10	control	4.489281869
D32M53	2.590156314	7.894432862	32	M53	no_zinc	5.826458051
D32M61	-1.968538383	2.329482468	32	M61	no_zinc	5.826458051
D32M69	-2.392961503	2.489672663	32	M69	no_zinc	5.826458051
D32M7	-1.418611954	2.799676204	32	M7	control	4.489281869
D32M29	-0.161436534	3.600658506	32	M29	control	4.489281869
D32M36	2.642903191	7.371180465	32	M36	control	4.489281869
D16M48	-0.849699783	3.971630421	16	M48	no_zinc	4.569204691
D16M1	-0.04921775	2.774843722	16	M1	control	3.518352632
D16M28	-3.052356153	-0.211869034	16	M28	control	3.518352632
D16M37	0.472572048	4.0309039	16	M37	control	3.518352632
D16M21	-0.528386366	3.149898439	16	M21	control	3.518352632
