	day	predicted k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;__	residual	true_val	treatment	mouseid
D32M3	32	0.196315495	-0.534333365	-0.338015235	control	M3
D32M54	32	0.291641749	1.940050635	2.231702276	no_zinc	M54
D32M37	32	0.196315495	-0.4692449	-0.272932357	control	M37
D32M40	32	0.196315495	-0.591076017	-0.394762682	control	M40
D32M8	32	0.196315495	2.278624843	2.474943265	control	M8
D32M19	32	0.196315495	-0.459342768	-0.263029269	control	M19
D32M27	32	0.196315495	-0.784786662	-0.588474651	control	M27
D32M31	32	0.196315495	-0.838009768	-0.641696828	control	M31
D32M34	32	0.196315495	-1.523260333	-1.326948573	control	M34
D32M52	32	0.291641749	-1.529510937	-1.23786888	no_zinc	M52
D32M62	32	0.291641749	4.498841775	4.790488738	no_zinc	M62
D32M13	32	0.196315495	-0.491913592	-0.295601846	control	M13
D32M38	32	0.196315495	-0.764355703	-0.568039096	control	M38
D32M59	32	0.291641749	-0.746588532	-0.45494813	no_zinc	M59
D32M70	32	0.291641749	-0.867836161	-0.576196445	no_zinc	M70
D32M15	32	0.196315495	1.254660536	1.450979592	control	M15
D32M2	32	0.196315495	-1.095136315	-0.898820939	control	M2
D32M32	32	0.196315495	1.70497899	1.901298864	control	M32
D32M4	32	0.196315495	-0.508844164	-0.31253147	control	M4
D32M67	32	0.291641749	-0.873249828	-0.58161111	no_zinc	M67
D32M10	32	0.196315495	1.378356149	1.574670271	control	M10
D32M53	32	0.291641749	-1.675291079	-1.38365382	no_zinc	M53
D32M61	32	0.291641749	-0.596217657	-0.304579142	no_zinc	M61
D32M69	32	0.291641749	-0.555594551	-0.263954945	no_zinc	M69
D32M7	32	0.196315495	1.569368403	1.765683406	control	M7
D32M29	32	0.196315495	-1.214010828	-1.017700279	control	M29
D32M36	32	0.196315495	-0.583132851	-0.386820118	control	M36
D16M48	16	0.766901183	-1.212839356	-0.445931959	no_zinc	M48
D16M1	16	0.229121581	1.4056449	1.634768208	control	M1
D16M28	16	0.229121581	-0.440991559	-0.211869034	control	M28
D16M37	16	0.229121581	-0.670941244	-0.441822615	control	M37
D16M21	16	0.229121581	-0.555374851	-0.326255491	control	M21
D16M27	16	0.229121581	-0.581263865	-0.352145768	control	M27
D16M30	16	0.229121581	2.114535493	2.343659864	control	M30
D16M33	16	0.229121581	-0.696132939	-0.467013738	control	M33
D16M35	16	0.229121581	1.901645613	2.130772088	control	M35
D16M75	16	0.766901183	-1.016274995	-0.249377896	no_zinc	M75
D16M12	16	0.229121581	-0.66946414	-0.440341541	control	M12
D16M13	16	0.229121581	-1.078496013	-0.849378181	control	M13
D16M46	16	0.766901183	-1.20934085	-0.442441282	no_zinc	M46
D16M56	16	0.766901183	8.165079597	8.931990004	no_zinc	M56
D16M18	16	0.229121581	-0.905900857	-0.67677987	control	M18
D16M47	16	0.766901183	4.896081418	5.662991435	no_zinc	M47
D16M70	16	0.766901183	-1.045768861	-0.278869712	no_zinc	M70
D16M39	16	0.229121581	1.978844481	2.207970851	control	M39
D16M76	16	0.766901183	-1.166391915	-0.399493942	no_zinc	M76
D16M10	16	0.229121581	-1.023816371	-0.794696163	control	M10
D16M66	16	0.766901183	1.049235678	1.816139577	no_zinc	M66
D16M68	16	0.766901183	4.370174694	5.137078613	no_zinc	M68
D16M49	16	0.766901183	-1.036630243	-0.269736066	no_zinc	M49
D16M7	16	0.229121581	-0.569924339	-0.340803249	control	M7
D16M29	16	0.229121581	-0.508964028	-0.279847393	control	M29
D16M25	16	0.229121581	1.731651818	1.960777558	control	M25
D8M3	8	0.245524623	-0.499285661	-0.253758403	control	M3
D8M48	8	1.004530899	2.021243209	3.025780323	no_zinc	M48
D8M54	8	1.004530899	-1.299309277	-0.294768487	no_zinc	M54
D8M71	8	1.004530899	-1.726849592	-0.722324491	no_zinc	M71
D8M11	8	0.245524623	2.033464674	2.278991617	control	M11
D8M75	8	1.004530899	-1.626598916	-0.622072101	no_zinc	M75
D8M12	8	0.245524623	-0.689487109	-0.443961468	control	M12
D8M22	8	0.245524623	1.716986058	1.962512759	control	M22
D8M56	8	1.004530899	-1.403833482	-0.399293359	no_zinc	M56
D8M57	8	1.004530899	-1.409892237	-0.405366549	no_zinc	M57
D8M65	8	1.004530899	-2.014457881	-1.00993308	no_zinc	M65
D8M9	8	0.245524623	-0.504966225	-0.259443453	control	M9
D8M18	8	0.245524623	1.33986768	1.58539171	control	M18
D8M38	8	0.245524623	-0.513831876	-0.268306141	control	M38
D8M47	8	1.004530899	-1.328836205	-0.32429647	no_zinc	M47
D8M55	8	1.004530899	-1.267280784	-0.262749998	no_zinc	M55
D8M59	8	1.004530899	1.439106793	2.443636344	no_zinc	M59
D8M70	8	1.004530899	0.609110241	1.613639106	no_zinc	M70
D8M15	8	0.245524623	1.284352309	1.529880493	control	M15
D8M2	8	0.245524623	1.569640721	1.815165225	control	M2
D8M32	8	0.245524623	1.256936448	1.50246545	control	M32
D8M39	8	0.245524623	-0.535076532	-0.289547119	control	M39
D8M4	8	0.245524623	-0.485663242	-0.24014142	control	M4
D8M67	8	1.004530899	-1.258474558	-0.253946691	no_zinc	M67
D8M74	8	1.004530899	0.453439151	1.457968135	no_zinc	M74
D8M76	8	1.004530899	0.879403355	1.883931044	no_zinc	M76
D8M79	8	1.004530899	-1.330401246	-0.325859891	no_zinc	M79
D8M10	8	0.245524623	-0.546909741	-0.30138649	control	M10
D8M53	8	1.004530899	-1.20933416	-0.204807752	no_zinc	M53
D8M58	8	1.004530899	-1.439367563	-0.434841877	no_zinc	M58
D8M61	8	1.004530899	-1.189161823	-0.184634159	no_zinc	M61
D8M63	8	1.004530899	0.154561249	1.159089641	no_zinc	M63
D8M69	8	1.004530899	-1.566410956	-0.561882201	no_zinc	M69
D8M72	8	1.004530899	-1.282997299	-0.278468166	no_zinc	M72
D8M66	8	1.004530899	-1.315382026	-0.310848411	no_zinc	M66
D8M68	8	1.004530899	-1.30319029	-0.298656654	no_zinc	M68
D8M49	8	1.004530899	-1.324484132	-0.319960238	no_zinc	M49
D8M7	8	0.245524623	-0.552122313	-0.306598181	control	M7
D8M73	8	1.004530899	-1.48062277	-0.476092444	no_zinc	M73
